USERNAME,TIME,REVIEW,text_clean
zigbee333,8 months ago,Good long lasting smell. Staff were friendly and nice customer service.,good long lasting smell staff were friendly and nice customer service
Gabriel Trofin,10 months ago,"I fell in love with this perfume, would be wonderful if I could buy it from Europe. Is possible to deliver in Italy?",i fell in love with this perfume would be wonderful if i could buy it from europe is possible to deliver in italy
Rachel Septania,8 months ago,Saff & co parfum ter the best ðŸ«¶ðŸ» â€¦,saff co parfum ter the best ðÿ ðÿ â
lucy vergitta,a month ago,Good products!,good products
Josefine Lin,4 months ago,"Nice choice of perfume, all smell so good",nice choice of perfume all smell so good
Elistya Maghfiroh,a month ago,best service! thank youðŸ’—ðŸ’—ðŸ’— â€¦,best service thank youðÿ ðÿ ðÿ â
jade nathaleen,7 months ago,have 3 of their perfume now 4!! always love it,have of their perfume now always love it
Meily Indahwati,a month ago,"good parfum, worth it to buy",good parfum worth it to buy
ria utama,8 months ago,Always love Saff&Co perfume!,always love saff co perfume
keii,9 months ago,Nice perfume ðŸ˜ â€¦,nice perfume ðÿ â
Stefani Agustina,8 months ago,Smell good and kind staff. Thank you!,smell good and kind staff thank you
fyal Rifyal,7 months ago,stunning and awesome,stunning and awesome
hong tjhieng,8 months ago,Good service and good smell. Thanks,good service and good smell thanks
Felicia Angeliani,8 months ago,good service and nice stand,good service and nice stand
Yuliana P.S.,6 months ago,Nice smell!!,nice smell
Nindya Kalyana,9 months ago,"as always my favee, saff n coðŸ¤ â€¦",as always my favee saff n coðÿ â
M Faisal As'adi,7 months ago,Good Service Good Joob,good service good joob
Devani Al Fita,6 months ago,good service,good service
anandamulia akbar,6 months ago,best services,best services
Dila,8 months ago,Awesome fragrance,awesome fragrance
Cuap-Cuap,7 months ago,Good Service ðŸ’ðŸ‘ â€¦,good service ðÿ ðÿ â
Intan Cindikia,9 months ago,Smells good,smells good
claretta ivana,6 months ago,"Choose the perfume so it's not random, the most awesome, try it right away! And it turns out it's really fun to be able to go straight to the saff&co store.. the ladies here are all patient and explain in detail about the products we asked about..",choose the perfume so it s not random the most awesome try it right away and it turns out it s really fun to be able to go straight to the saff co store the ladies here are all patient and explain in detail about the products we asked about
Audrey Ellison,6 months ago,"The service is great, the staff are very friendly and polite. The place is also attractive, and the perfume lasts a long time.",the service is great the staff are very friendly and polite the place is also attractive and the perfume lasts a long time
Stevertkm A,6 months ago,"The perfume is so delicious! There are soft scents, and there are also strong ones. The lady is friendly and wasn't stingy with the tester. I'll definitely be back when my perfume runs out ðŸ˜ â€¦",the perfume is so delicious there are soft scents and there are also strong ones the lady is friendly and wasn t stingy with the tester i ll definitely be back when my perfume runs out ðÿ â
Priscilla Kandinata,6 months ago,"The service is friendly, and the staff is very helpful. The scents of the perfumes are also very appealing, very nice!",the service is friendly and the staff is very helpful the scents of the perfumes are also very appealing very nice
Farhad Hamid,7 months ago,I got a lot of recommendations from Ms. Tiara when I visited Saff and Co. ðŸ‘ŒðŸ»ðŸ‘ŒðŸ»,i got a lot of recommendations from ms tiara when i visited saff and co ðÿ œðÿ ðÿ œðÿ
