USERNAME,TIME,REVIEW,text_clean,text_normalized,label
zigbee333,8 months ago,Good long lasting smell. Staff were friendly and nice customer service.,good long lasting smell staff were friendly and nice customer service,good long lasting smell staff were friendly and nice customer service,Positif
Gabriel Trofin,10 months ago,"I fell in love with this perfume, would be wonderful if I could buy it from Europe. Is possible to deliver in Italy?",i fell in love with this perfume would be wonderful if i could buy it from europe is possible to deliver in italy,i fell in love with this perfume would be wonderful if i could buy it from europe is possible to deliver in italy,Positif
Rachel Septania,8 months ago,Saff & co parfum ter the best ðŸ«¶ðŸ» â€¦,saff co parfum ter the best ðÿ ðÿ â,saff co parfum ter the best ðÿ ðÿ â,Positif
lucy vergitta,a month ago,Good products!,good products,good products,Positif
Josefine Lin,4 months ago,"Nice choice of perfume, all smell so good",nice choice of perfume all smell so good,nice choice of perfume all smell so good,Positif
Elistya Maghfiroh,a month ago,best service! thank youðŸ’—ðŸ’—ðŸ’— â€¦,best service thank youðÿ ðÿ ðÿ â,best service thank youðÿ ðÿ ðÿ â,Positif
jade nathaleen,7 months ago,have 3 of their perfume now 4!! always love it,have of their perfume now always love it,have of their perfume now always love it,Positif
Meily Indahwati,a month ago,"good parfum, worth it to buy",good parfum worth it to buy,good parfum sepadan it to buy,Positif
ria utama,8 months ago,Always love Saff&Co perfume!,always love saff co perfume,always love saff co perfume,Positif
keii,9 months ago,Nice perfume ðŸ˜ â€¦,nice perfume ðÿ â,nice perfume ðÿ â,Positif
Stefani Agustina,8 months ago,Smell good and kind staff. Thank you!,smell good and kind staff thank you,smell good and kind staff thank you,Positif
fyal Rifyal,7 months ago,stunning and awesome,stunning and awesome,stunning and awesome,Positif
hong tjhieng,8 months ago,Good service and good smell. Thanks,good service and good smell thanks,good service and good smell thanks,Positif
Felicia Angeliani,8 months ago,good service and nice stand,good service and nice stand,good service and nice stand,Positif
Yuliana P.S.,6 months ago,Nice smell!!,nice smell,nice smell,Positif
Nindya Kalyana,9 months ago,"as always my favee, saff n coðŸ¤ â€¦",as always my favee saff n coðÿ â,as always my favee saff n coðÿ â,Netral
M Faisal As'adi,7 months ago,Good Service Good Joob,good service good joob,good service good joob,Positif
Devani Al Fita,6 months ago,good service,good service,good service,Positif
anandamulia akbar,6 months ago,best services,best services,best services,Positif
Dila,8 months ago,Awesome fragrance,awesome fragrance,awesome fragrance,Positif
Cuap-Cuap,7 months ago,Good Service ðŸ’ðŸ‘ â€¦,good service ðÿ ðÿ â,good service ðÿ ðÿ â,Positif
Intan Cindikia,9 months ago,Smells good,smells good,smells good,Positif
claretta ivana,6 months ago,"Choose the perfume so it's not random, the most awesome, try it right away! And it turns out it's really fun to be able to go straight to the saff&co store.. the ladies here are all patient and explain in detail about the products we asked about..",choose the perfume so it s not random the most awesome try it right away and it turns out it s really fun to be able to go straight to the saff co store the ladies here are all patient and explain in detail about the products we asked about,choose the perfume so it s not random the most awesome try it right away and it turns out it s really fun to be able to go straight to the saff co store the ladies here are all patient and explain in detail about the products we asked about,Positif
Audrey Ellison,6 months ago,"The service is great, the staff are very friendly and polite. The place is also attractive, and the perfume lasts a long time.",the service is great the staff are very friendly and polite the place is also attractive and the perfume lasts a long time,the service is great the staff are very friendly and polite the place is also attractive and the perfume lasts a long time,Positif
Stevertkm A,6 months ago,"The perfume is so delicious! There are soft scents, and there are also strong ones. The lady is friendly and wasn't stingy with the tester. I'll definitely be back when my perfume runs out ðŸ˜ â€¦",the perfume is so delicious there are soft scents and there are also strong ones the lady is friendly and wasn t stingy with the tester i ll definitely be back when my perfume runs out ðÿ â,the perfume is so delicious there are lembut scents and there are also strong ones the lady is friendly and wasn t stingy with the tester i ll definitely be back when my perfume runs out ðÿ â,Positif
Priscilla Kandinata,6 months ago,"The service is friendly, and the staff is very helpful. The scents of the perfumes are also very appealing, very nice!",the service is friendly and the staff is very helpful the scents of the perfumes are also very appealing very nice,the service is friendly and the staff is very helpful the scents of the perfumes are also very appealing very nice,Positif
Farhad Hamid,7 months ago,I got a lot of recommendations from Ms. Tiara when I visited Saff and Co. ðŸ‘ŒðŸ»ðŸ‘ŒðŸ»,i got a lot of recommendations from ms tiara when i visited saff and co ðÿ œðÿ ðÿ œðÿ,i got a lot of recommendations from ms tiara when i visited saff and co ðÿ œðÿ ðÿ œðÿ,Netral
Admin Bycilla,6 months ago,"The staff is super friendly, the service is great. The perfume smells delicious ðŸ˜ â€¦",the staff is super friendly the service is great the perfume smells delicious ðÿ â,the staff is super friendly the service is great the perfume smells delicious ðÿ â,Positif
Grace Kandinata,6 months ago,"I really like all the products and the displays are attractive. During testing, they were very helpful and the staff were very helpful and friendly.",i really like all the products and the displays are attractive during testing they were very helpful and the staff were very helpful and friendly,i really like all the products and the displays are attractive during testing they were very helpful and the staff were very helpful and friendly,Positif
Shabrina RM (Brina),6 months ago,I like almost all the perfume variants ðŸ¥° â€¦,i like almost all the perfume variants ðÿ â,i like almost all the perfume variants ðÿ â,Netral
Ifan Rifai Hardiyanto,6 months ago,"The service from the older brothers is the best. Xocolatl is the best perfume, you must buy it next time.",the service from the older brothers is the best xocolatl is the best perfume you must buy it next time,the service from the older brothers is the best xocolatl is the best perfume you must buy it next time,Positif
Adellia Devi Rahayu,6 months ago,"The perfume is nice, there are various types of nice scentsðŸ˜ â€¦",the perfume is nice there are various types of nice scentsðÿ â,the perfume is nice there are various types of nice scentsðÿ â,Positif
nurul aida,8 months ago,"The service is super friendly, if we are confused about the perfume, we can ask the sister for recommendations, and the sister will explain in detail ðŸ˜ðŸ˜ðŸ˜ â€¦",the service is super friendly if we are confused about the perfume we can ask the sister for recommendations and the sister will explain in detail ðÿ ðÿ ðÿ â,the service is super friendly if we are confused about the perfume we can ask the sister for recommendations and the sister will explain in detail ðÿ ðÿ ðÿ â,Positif
Almeida Putri,2 months ago,"The ladies are nice, very good deal price ðŸ¤© â€¦",the ladies are nice very good deal price ðÿ â,the ladies are nice very good deal price ðÿ â,Positif
Lily Soesanti,6 months ago,"I like the scent, it makes me feel confident. The scent is really strong for me.",i like the scent it makes me feel confident the scent is really strong for me,i like the scent it makes me feel confident the scent is really strong for me,Netral
Noviana,8 months ago,"The sister is friendly, the service is good, in short, it is highly recommended, I will definitely always stop by when I need perfume",the sister is friendly the service is good in short it is highly recommended i will definitely always stop by when i need perfume,the sister is friendly the service is good in short it is highly recommended i will definitely always stop by when i need perfume,Positif
Intan Herayuningrum,a month ago,A truly long-lasting perfume.,a truly long lasting perfume,a truly long lasting perfume,Positif
Hengky Putra,8 months ago,"For this local brand, it's really the best, especially the minouet SPL from der dor, the price is also pocket-friendly",for this local brand it s really the best especially the minouet spl from der dor the price is also pocket friendly,for this local brand it s really the best especially the minouet spl from der dor the price is also pocket friendly,Positif
Resandy Dwi,8 months ago,"There are various kinds of perfume testers available, you can compare the various aromas directly.",there are various kinds of perfume testers available you can compare the various aromas directly,there are various kinds of perfume testers available you can compare the various aromas directly,Netral
Willy Darmawan Utomo,6 months ago,"It was really helpful to have her older sister take care of us, providing alternatives to suit our tastes. The aroma choices are also unique.",it was really helpful to have her older sister take care of us providing alternatives to suit our tastes the aroma choices are also unique,it was really helpful to have her older sister take care of us providing alternatives to suit our tastes the aroma choices are also unique,Positif
Ahmad Faisal,5 months ago,The seller is great. Everyone is friendly.,the seller is great everyone is friendly,the seller is great everyone is friendly,Positif
Pria Wahyu S,6 months ago,The older sister is very informative in explaining to customers and is friendly of course ðŸ˜ â€¦,the older sister is very informative in explaining to customers and is friendly of course ðÿ â,the older sister is very informative in explaining to customers and is friendly of course ðÿ â,Positif
khoirur rahma,8 months ago,"The older sister is very friendly, so you can know the fragrance directly, very informativeðŸ«¶ðŸ» â€¦",the older sister is very friendly so you can know the fragrance directly very informativeðÿ ðÿ â,the older sister is very friendly so you can know the fragrance directly very informativeðÿ ðÿ â,Positif
Amanda,8 months ago,"The service is very friendly, and there are many variants and you can snifffffðŸ¤ â€¦",the service is very friendly and there are many variants and you can sniffðÿ â,the service is very friendly and there are many variants and you can sniffðÿ â,Positif
natalie rebec4,6 months ago,"The perfume smells good and lasts a long time, I've been trying it since college. The staff is also very helpful and friendly!â­ï¸â­ï¸â­ï¸â­ï¸â­ï¸",the perfume smells good and lasts a long time i ve been trying it since college the staff is also very helpful and friendly â ï â ï â ï â ï â ï,the perfume smells good and lasts a long time i ve been trying it since college the staff is also very helpful and friendly â ï â ï â ï â ï â ï,Positif
Desan,9 months ago,"Good service regarding perfume explanations, quite understandable. Good âœ¨",good service regarding perfume explanations quite understandable good âœ,good service regarding perfume explanations quite understandable good âœ,Positif
sivote1,8 months ago,"The sister is very friendly. She explains things clearly, making me imagine the scent. Recommended, hehe",the sister is very friendly she explains things clearly making me imagine the scent recommended hehe,the sister is very friendly she explains things clearly making me imagine the scent recommended,Positif
Nuraini Melika,7 months ago,"So far, it's a perfume brand that people repurchase many times. Complete variantsðŸ‘Œ â€¦",so far it s a perfume brand that people repurchase many times complete variantsðÿ œ â,so far it s a perfume brand that people repurchase many times complete variantsðÿ œ â,Positif
steph curry,2 months ago,A perfume whose scent never gets boring. Highly recommended!,a perfume whose scent never gets boring highly recommended,a perfume whose scent never gets boring highly recommended,Positif
wulan nnn,5 months ago,really good serviceâ¤ï¸â€ðŸ”¥ â€¦,really good serviceâ ï â ðÿ â,really good serviceâ ï â ðÿ â,Positif
Richa Putri,7 months ago,"Just wanted to try it, it smells really good, I like itðŸ¥°â¤ï¸ â€¦",just wanted to try it it smells really good i like itðÿ â ï â,just wanted to try it it smells really good i like itðÿ â ï â,Positif
Binti Rahmadtul Ulfa,8 months ago,"Very good service, explained in detail. Top dehðŸ”¥ â€¦",very good service explained in detail top dehðÿ â,very good service explained in detail top dehðÿ â,Positif
sabrina amalia,7 months ago,the smell is really nice &&& the outlet is easy to reach!!!,the smell is really nice the outlet is easy to reach,the smell is really nice the outlet is easy to reach,Positif
putrianggita dewi,7 months ago,service mbak nyaa ramaahh bgt and ostaraa the bestt âœ¨âœ¨,service mbak nyaa ramaahh bgt and ostaraa the bestt âœ âœ,service mbak nyaa ramaahh sangat and ostaraa the bestt âœ âœ,Positif
Tiinz Tata,7 months ago,Friendly service,friendly service,friendly service,Positif
Farhanaz Jihan,2 months ago,"The service is okay, the ladies are very friendly ðŸ¥° â€¦",the service is okay the ladies are very friendly ðÿ â,the service is okay the ladies are very friendly ðÿ â,Positif
jelly beans,7 months ago,"The service is friendly, the older sister explains in detail",the service is friendly the older sister explains in detail,the service is friendly the older sister explains in detail,Positif
Salsa Billa Frisanti Sanin,7 months ago,"I always like the smell, it lasts a long time ðŸ¥° â€¦",i always like the smell it lasts a long time ðÿ â,i always like the smell it lasts a long time ðÿ â,Netral
Kurnia Septi,7 months ago,"I will come back to buy from here, the sister is very friendly.",i will come back to buy from here the sister is very friendly,i will come back to buy from here the sister is very friendly,Positif
Dian Trixie,7 months ago,"the employees are friendly, patient in serving ðŸ˜ â€¦",the employees are friendly patient in serving ðÿ â,the employees are friendly patient in serving ðÿ â,Positif
Divia Bharati,6 months ago,"Xocolatl smells delicious, and the service is good and the staff is super friendly. Thank you.",xocolatl smells delicious and the service is good and the staff is super friendly thank you,xocolatl smells delicious and the service is good and the staff is super friendly thank you,Positif
Neni Sagita,7 months ago,"Beautiful sister, the service is very friendly,,",beautiful sister the service is very friendly,beautiful sister the service is very friendly,Positif
Albert Yuwono,7 months ago,The scent is long-lasting. Excellent extrait de parfume.,the scent is long lasting excellent extrait de parfume,the scent is long lasting excellent ekstrait parfum de parfume,Positif
Ziezie Yua,6 months ago,"The Ostara series, I swear, smells crazy good...",the ostara series i swear smells crazy good,the ostara series i swear smells crazy good,Positif
aichen jaklyn,5 months ago,"my favorite perfume every day, it smells good and lasts a long time",my favorite perfume every day it smells good and lasts a long time,my favorite perfume every day it smells good and lasts a long time,Positif
Yayuk Sulistin,7 months ago,"The perfume collection is delicious, and there's also a gentle and fragrant body lotion. The service is friendly and very helpful ðŸ˜ â€¦",the perfume collection is delicious and there s also a gentle and fragrant body lotion the service is friendly and very helpful ðÿ â,the perfume collection is delicious and there s also a gentle and fragrant body lotion the service is friendly and very helpful ðÿ â,Positif
anisa herliani,9 months ago,"The perfume range is complete, and the scent lasts up to 12 hours. The price is worth it, just like the online price, and the service is good.",the perfume range is complete and the scent lasts up to hours the price is worth it just like the online price and the service is good,the perfume range is complete and the scent lasts up to hours the price is sepadan it just like the online price and the service is good,Positif
Alvi Cahya Lestari,6 months ago,"Great service, friendly. Tried many variants, still friendly ðŸ˜ðŸ˜ â€¦",great service friendly tried many variants still friendly ðÿ ðÿ â,great service friendly tried many variants still friendly ðÿ ðÿ â,Positif
Leyla Puspita Wardhani,8 months ago,"The perfume smells really good, I like it, the service is also friendly and very helpful, good job staff & co.",the perfume smells really good i like it the service is also friendly and very helpful good job staff co,the perfume smells really good i like it the service is also friendly and very helpful good job staff co,Positif
zefanya kurnioseputro,8 months ago,"It smells good, the staff is friendly and helpful",it smells good the staff is friendly and helpful,it smells good the staff is friendly and helpful,Positif
